X (cm),Y (cm),Adjusted Y (cm),start,end,A,damp_factor,omega,phi,c,d,stdev-A,stdev-damp,stdev-omega,stdev-phi,stdev-c,stdev-d
64.5,22.0,23.7126560892782,1.88,6.88,0.0044096739969221,0.1318851679979035,5.495302146401658,0.6593269756796292,1.3592899274645898,0.0003085989349566,3.981616737695484e-05,0.0036973703748635,0.0035643110394888,0.0084117334297183,2.375030130136002e-05,6.082004072989454e-06
64.5,36.0,38.2130122533026,1.554,6.554,0.0044136679099827,0.2189335481709839,4.813438971971834,-0.0300896179972865,1.372300624330281,-4.4156980932503616e-05,9.57042279834886e-07,0.0001051004619041,0.000105212765633,0.0002282016436287,5.495276254138718e-07,1.3755669453977552e-07
65.0,3.0,7.808232984947797,3.072,8.072,0.0017242146684578,0.223700173759443,6.054773743817678,-0.0258025151469552,1.3431098752651722,-1.1978163969734776e-05,7.924950042556329e-07,0.0002234523782603,0.0002232719118051,0.0004752402391708,4.473327211454948e-07,1.1479995712835817e-07
72.5,88.0,74.84858620155009,8.2428,16.2428,0.0039849366151345,0.2825493163091888,5.292202158672973,0.05932267282006709,1.416189259715777,-1.4152185185802297e-05,1.3710297909834022e-06,0.0001504560476779,0.0001552761922104,0.0003615441226097,6.340289518102507e-07,9.64778211216872e-08
73.0,13.0,2.2653737579379705,2.8592,7.8592,0.0056969983764594,0.3526334986255392,8.199423786796725,0.0498142156636299,1.3456096908054986,-6.790910940804677e-06,8.084562194340987e-07,8.430486115034775e-05,8.743641769471734e-05,0.0001485741390395,4.076387841480479e-07,1.0479705349669049e-07
73.0,20.0,9.732302668336647,4.8596,9.8596,0.0047514459266678,0.3154299601535043,7.747437273025771,0.0058532799988814,1.352895939641365,-1.6020477381803683e-05,1.0631345045053842e-06,0.0001244577793801,0.0001281352070675,0.0002307189615315,5.484760318631204e-07,1.398643885311315e-07
73.0,30.0,17.801514194021713,4.5,9.5,0.0053342592767971,0.3411394879878427,7.259108179610633,0.452995088062217,1.360809969947554,-1.4104072111824308e-05,1.2091204941349063e-06,0.0001302736427496,0.0001231163196233,0.0002109746399524,5.795494396795623e-07,1.4679884083950697e-07
73.0,40.0,25.78077942740903,4.3196,9.3196,0.0104610447176584,0.3584495845127984,6.805077702867772,0.02834446833812665,1.3686019545111836,-2.2117784624160245e-05,1.781529960149193e-06,0.0001028060881944,0.0001053496416196,0.0001791988527087,8.993433586579026e-07,2.2710985492822802e-07
73.0,51.5,39.185118341158784,5.6736,10.6736,0.0054499022243633,0.3264176024109346,6.334351636491684,-0.049855900458153,1.3817846527850088,-8.46220058713853e-06,1.2052406622283383e-06,0.0001256129198683,0.0001307252643101,0.0002335450738849,6.241627944543994e-07,1.5518931468461885e-07
73.0,64.0,51.93854509824541,14.6952,19.6952,0.0066245856685067,0.3014212259883815,5.924545460374707,0.032205104942919505,1.3942547280551982,-1.650032190945195e-05,2.5855361764908946e-06,0.0002129890010195,0.0002234517687367,0.0004155651130743,1.3787124720235263e-06,3.408910844910702e-07
73.0,72.5,58.02998649994418,2.8136,7.8136,0.0073807587547661,0.288690990622264,5.661454523055833,0.04195317267583132,1.40022508222844,-1.6218128879683102e-05,1.742118320984095e-06,0.0001262227197871,0.0001342890017278,0.0002546271658973,9.545658876562671e-07,2.360050854044811e-07
73.5,3.0,-7.745965511779584,2.1452,7.1452,0.0056774789514772,0.3478435971578616,8.957841607600765,-0.01299661489095394,1.336251995966347,-1.918140281256489e-05,1.4272728418852345e-06,0.0001474267268513,0.0001511186923563,0.0002575036173964,7.11601097591944e-07,1.837707080533056e-07
73.5,8.0,-3.185612135813741,2.5776,7.5776,0.0065764218184955,0.3508375251588838,8.566906240762705,0.0263551320119322,1.3406957547898646,-2.669167039110779e-05,1.3096954511017408e-06,0.0001183153342709,0.0001183359926204,0.0002025300511691,6.487612246353872e-07,1.669379162146691e-07
